Name,doc_type,committee,date,submission_url,pdf_file,Unnamed: 6,item,summary,entity_label,short_sum,sentiment
Ministry for the Environment (Issues relating to regional planning committees),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16756////c8c40b94b41b23410aa22c1a0c5789972e0aefa5,submissions////e5fcad44-b59c-4112-9d64-7a7f7af56200.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to establish regional planning committees (RPCs) with independent decision-making powers. The briefing states that RPCs are essential for a shift to a regionalized planning approach, as they bring together local authorities and Māori to make joint decisions on regional spatial strategies (RSS) or national environmental standards (NBE) plans. The briefing recommends against requiring individual councils to ratify RPC decisions, as this would undermine the joint decision-making approach. It also recommends enabling all local authorities to appoint a member to an RPC and allowing Māori members to be appointed by iwi authorities and groups representing hapū. The briefing emphasizes the importance of accountability and ensuring that RPC members are democratically accountable to their communities. It also addresses concerns about a loss of local voice in the plan-making process, stating that RPCs are required to consult with the community and consider statements of community outcomes and regional environmental outcomes. The briefing recommends some minor changes to strengthen the role of RPC subcommittees and clarify secretariat arrangements. It also addresses the issue of regional boundaries, stating that aligning RPC boundaries with regional council boundaries supports integrated land use planning and natural resource management. The briefing recommends that unitary authorities establish one RPC and produce one RSS and plan for the combined area, while also acknowledging the need for separate plans in cases where there are significant geographic separations and unique issues. The briefing recommends setting statutory deadlines for establishing RPCs and providing flexibility for extensions if needed. Overall, the main recommendation is to establish independent RPCs to enable effective collaboration and decision-making at the regional level.",organisation,The main recommendation in this briefing is to establish regional planning committees (RPCs) with independent decision-making powers to facilitate collaboration and decision-making at the regional level.,0.9516274929046631
Ministry for the Environment (Departmental report - themes on regional planning committees),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16742////92e11aaf9fc997ce17828f2b30e7ea4104a8e444,submissions////9cdb42ca-c71d-47db-afc5-a56b858c0bd0.pdf,,Natural and Built Environment Bill,"The main recommendation of this briefing is to establish Regional Planning Committees (RPCs) with independent decision-making powers. The briefing states that moving to an approach where individual councils are required to ratify the decisions of the RPC is not recommended as it would undermine the joint decision-making approach and the new strategic decision-making role proposed for Māori and central government. The briefing also recommends enabling all local authorities to appoint a member to an RPC and a self-determined process for appointing Māori members led by iwi authorities and groups that represent hapū. Additionally, the briefing recommends some minor changes to better accommodate and ensure efficiencies for unitary authorities. Finally, the briefing recommends setting specific timeframes for the composition and appointment process of RPCs.",organisation,"The main recommendation of this briefing is to establish Regional Planning Committees (RPCs) with independent decision-making powers, allowing for a joint decision-making approach and a strategic role for Māori and central government, while also accommodating unitary authorities and setting specific timeframes for the composition and appointment process of RPCs.",0.9779467582702637
Ministry for the Environment (Departmental report - Tranche 4 - Natural and Built Environment Bill - Version 2),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN17079////78e0082bb1082ddb9120cabe2607b25a88fd0303,submissions////9d07cf62-33f5-45b0-9e4b-b7473aa0c34d.pdf,,Natural and Built Environment Bill,"The briefing provides an overview and analysis of the Natural and Built Environment Bill. It includes information on the submissions received, cross-cutting aspects of the new system, interface with the Spatial Planning Bill, achieving the purpose, outcomes and effects management, limits and targets, places of national importance, allocation, and other legislative interfaces. 

The main recommendation is to retain the separate Spatial Planning Act (SPA) and Natural and Built Environment Act (NBA) while ensuring they work together as a coherent system. The briefing also highlights the importance of an outcomes-driven approach, managing adverse effects, setting limits and targets, protecting places of national importance, and implementing an allocation framework. Additionally, it mentions the establishment of a Freshwater Working Group to address freshwater allocation issues.",organisation,"The briefing recommends retaining separate acts for spatial planning and the natural and built environment, while emphasizing the need for an outcomes-driven approach, managing adverse effects, protecting important places, and implementing an allocation framework.",0.9959506988525391
Ministry for the Environment (Table of departmental report changes for navigation),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN17084////81233071df0eb7403c681b23c14e98f5219b82fd,submissions////19aac4b2-555d-4f09-ace8-9c32397b9175.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to amend various clauses in the NBE Bill to clarify and improve their wording. Some of the specific recommendations include amending subclauses to clarify the promotion of development capacity in urban areas, adding direction on enabling the supply of fresh vegetables in the NPF, clarifying accessibility to recreational opportunities, amending the definition of 'bed' for braided rivers, and clarifying the appropriate consent authority for framework rules. Other recommendations include clarifying engagement requirements with local government, iwi, and the National Māori Entity, clarifying the review of the national planning framework, and amending notification provisions for notices of requirement. Overall, the recommendations aim to improve the clarity and effectiveness of the NBE Bill.",organisation,"The main recommendation in this briefing is to amend various clauses in the NBE Bill to clarify and improve their wording, with specific recommendations including clarifying development capacity, enabling fresh vegetable supply, clarifying recreational accessibility, amending the definition of 'bed' for braided rivers, clarifying consent authority for framework rules, engaging with local government and iwi, clarifying the review process, and amending notification provisions.",0.9577993750572205
Clerk of committee (Legislative scrutiny memo- Natural and Built Environment Bill),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16991////9ce34146e042f4f74c66b6ff05822f6cfa03bc4a,submissions////ed9c2c08-e15a-46d3-a3aa-6ff100623907.pdf,,Natural and Built Environment Bill,"The briefing memorandum provides analysis and recommendations for the Natural and Built Environment Bill. The main recommendation is for the committee to consider whether there should be greater parliamentary scrutiny of the National Planning Framework and any major revisions, particularly before the first NPF is made by Order in Council. Other recommendations include clarifying the status of Te Oranga o te Taiao statements, addressing the differentiation between scientific knowledge and mātauranga Māori, justifying the provision for revocation of an infringement notice, evaluating the appropriateness of strict liability offences and their penalties, considering mechanisms to dispute excessive noise directions, reviewing the time limit for judicial review of aquaculture zone decisions, examining the lack of appeal process for financial assurance claims, discussing the appropriateness of monetary benefit orders and their payment recipients, clarifying resource allocation principles, defining the concept of ""harm or stress,"" determining how to interpret ""low incomes,"" and assessing the extent of ministerial powers in appointing substitutes for local authorities and in the housing and infrastructure fast-track consenting process.",person or persons,"The briefing memorandum recommends greater parliamentary scrutiny of the National Planning Framework, clarifying various aspects of the bill, reviewing time limits and lack of appeal processes, and assessing ministerial powers in the Natural and Built Environment Bill.",0.7861844301223755
Emily Grace (Comments on NBE Bill departmental report 3B - Notification provisions),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16959////f1b009405d1650630cc637995ee291cf6766120b,submissions////c44a2a27-c9b5-4418-a0c5-3af83a12519f.pdf,,Natural and Built Environment Bill,"The briefing is a report providing independent advice on the workability of the recommendations in the Departmental Reports on the Natural and Built Environment Bill and the Spatial Planning Bill. The focus of this report is on the notification provisions in Report 3B. The main recommendation is that the provisions on notification are confusing and the recommendations in the report will improve workability. The report suggests relocating the provisions related to plan-making and clarifying the purpose of notification. It also advises careful consideration of the introduction of an effects threshold for identifying affected parties, as it may retain the status quo and make changing the system challenging. The report suggests that the policy reason for identifying affected parties and their role in the new system should be made clear, and alternative approaches to identifying affected parties are proposed. Finally, the report recommends linking the wording ""likely state of the future environment"" to outcomes and providing clarity on the relationship between the effects threshold and the purpose of notification.",person or persons,"The briefing report provides recommendations for improving the notification provisions in the Departmental Reports on the Natural and Built Environment Bill and the Spatial Planning Bill, suggesting changes such as relocating provisions, clarifying the purpose of notification, and considering alternative approaches to identifying affected parties.",0.877117395401001
Ministry for the Environment (Response to Emily Grace's Comments on NBE and SP Department report),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16968////e704b7eda369d803a34718b333d0acbd780e3b5f,submissions////0a8a9659-dfb3-4d88-9a7b-8ba1382ce407.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to make changes to the Natural and Built Environment Bill and the Spatial Planning Bill. Some of the specific recommendations include clarifying the language used in certain clauses, ensuring that the management of effects is included as a key mechanism in the Bill, and clarifying the distinction between different plan processes. The briefing also addresses concerns about the role of Te Oranga o te Taiao statements and suggests changes to improve workability and clarity in the legislation.",organisation,"The briefing recommends changes to the Natural and Built Environment Bill and the Spatial Planning Bill, including clarifying language, incorporating management of effects, and addressing concerns about Te Oranga o te Taiao statements.",0.982589602470398
Emily Grace (Comments on Natural and Built Environment Bill departmental report 3A and 3B),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16956////6b1d1759e1543c17779fc3e01096d695b9d483e1,submissions////2fbd8398-401f-41d8-bfb7-fbb8587293c9.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to delete certain recommendations in the Departmental Report related to the Natural and Built Environment Bill. The first recommendation is to delete a proposed addition that could cause confusion regarding the role of NBE Plans in providing for the needs of communities. The second recommendation is to delete a proposed addition that would allow the Environment Court to direct modifications to NBE Plans that are inconsistent with risk reduction or adaptation requirements. The third recommendation is to reconsider the need for separate Te Oranga o te Taiao statements, as the RSS and NBE Plans themselves can uphold Te Oranga o te Taiao. Other recommendations include clarifying the distinction between plan development and plan change processes, clarifying the requirements for evidence provided with submissions, and improving the wording and clarity of certain clauses related to resource consents. The briefing also mentions that the System Efficiency Working Group supports most of the recommendations in the Departmental Report.",person or persons,"The main recommendation in this briefing is to delete certain recommendations in the Departmental Report related to the Natural and Built Environment Bill, including additions that could cause confusion and inconsistencies, and to reconsider the need for separate Te Oranga o te Taiao statements.",0.6911318898200989
Ministry for the Environment (Proposed changes to recommendations in SP and NBE dept reports),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16921////71ec74e04c5e3a096a6a6345f0b08b23d5bbc50b,submissions////c03185de-7637-4b33-ae22-6ecd2b89ff8f.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to amend the Spatial Planning Bill to provide a regulation-making power to prescribe information that must be published alongside a draft or adopted regional spatial strategy (RSS). This would include requiring web pages on which the RSS is published to provide access to the GIS platform and standard GIS layers that informed the development of the RSS. The briefing also recommends amending the Bill to clarify that the terminology describing Māori groups includes Moriori, and to add urban trees and braided rivers to the list of matters that the National Planning Framework (NPF) must provide direction on. Other recommendations include clarifying the exemptions application process for environmental limits, requiring the data obtained from monitoring limits and targets to be made publicly available, and removing the word ""strategic"" from clause 56 of the Bill.",organisation,"The main recommendation in this briefing is to amend the Spatial Planning Bill to provide more transparency and accessibility to information related to regional spatial strategies, as well as to clarify terminology and add additional matters that the National Planning Framework must provide direction on.",0.9691502451896667
Ministry for the Environment (replacement pages 16-17 for Departmental report - Tranche 4),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16919////168dc2a497f3c9e9225896c8d31d8c75642f831a,submissions////f15bf872-1431-4ffb-a2e8-1f357433af3d.pdf,,Natural and Built Environment Bill,"The briefing discusses the provisions on places of national importance (PNI) and highly vulnerable biodiversity areas (HVBAs) in the new resource management system. The PNI provisions aim to protect key places and biodiversity, while also providing certainty for development. The framework for PNIs operates based on whether the activity is in a nationally important place, the effect of the activity, and any exemptions or conditions. The framework for HVBAs is similar but with narrower exemptions and a different effects management framework. 

The briefing also mentions the allocation framework established by the NBE, which allows for strategic and deliberate allocation of resources. The framework includes resource allocation principles, national direction from the Minister for the Environment, and a list of resources that plans must allocate. RPCs must give effect to the NPF and set out allocation methods in their plans. Various allocation methods can be used, including permitted activities, standard consenting, comparative consenting, and market-based methods (excluding freshwater). NBE plans must include rules for allocating freshwater takes, diversions, or use and nitrogen discharges. RPCs may also allocate other resources such as contaminants to freshwater or air. Hybrid allocation methods can be used for specific resources in a given area. 

The main recommendation is to implement the framework for PNIs and HVBAs to protect important places and biodiversity. Additionally, the briefing recommends the adoption of the allocation framework to enable strategic resource allocation.",organisation,"The briefing recommends implementing provisions for protecting places of national importance and highly vulnerable biodiversity areas, as well as adopting an allocation framework for strategic resource allocation.",0.6378722190856934
Ministry for the Environment (Response to Regulations Review Committee Letter),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16922////4b80596e2ad18603436596f7ad7f728054f654bb,submissions////2c2a76c9-2c6a-48af-945b-1fa75646532a.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to amend the Natural and Built Environment Bill to include specific safeguards and requirements for certain provisions. These include expanding the list of exclusions for delegation of powers, clarifying the commencement process, clarifying the purpose of the National Planning Framework, clarifying the process for the development of the first National Planning Framework, clarifying the process for exemptions from environmental limits, consolidating and clarifying regulations for market-based allocation, clarifying the process for making and changing the National Planning Framework, clarifying the rules for plans, addressing a drafting error regarding critical habitats, reviewing the caps on prescribed infringement fees, clarifying that regulations are secondary legislation, addressing concerns about windfall gains in market-based allocation, amending emergency response regulations, clarifying the role of the Minister for Emergency Response, and adding safeguards to the general regulation-making power.",organisation,The main recommendation in this briefing is to amend the Natural and Built Environment Bill to include specific safeguards and requirements for certain provisions.,0.9268621206283569
Ministry for the Environment (Response to the Chief Justice's submission),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16916////3baf8ab92552e52e3ae759192af8363755b5a7a1,submissions////8f6e8883-af02-437e-8303-c4b70f86cbe6.pdf,,Natural and Built Environment Bill,"This briefing responds to concerns raised by the Chief Justice regarding the Natural and Built Environment (NBE) Bill. The main recommendations are as follows:

1. Clarify that certain clauses in the Bill do not apply to the courts, except when interpreting and applying the legislation or when the Environment Court is the primary decision maker.
2. Exclude the courts from the procedural principles and best information provisions outlined in clauses 804 and 805.
3. Apply judicial immunity provisions to current and former judges appointed as chairs of boards of inquiry and independent hearing panels.
4. Extend the immunity provided to members of boards of inquiry for proposals of national significance to members of other boards and independent hearings panels.
5. Amend the appeal process for fast-track consenting to align with the process for appeals for proposals of national significance.
6. Address errors in the drafting of clauses 660 and 663 to ensure that the courts are not subject to monitoring by the National Māori Entity.
7. Address concerns regarding compliance and enforcement issues in the NBE Bill departmental report.

Overall, the main recommendation is to make amendments to the NBE Bill to address the concerns raised by the Chief Justice and ensure that the role and functions of the courts are appropriately defined and protected.",organisation,The briefing recommends amendments to the Natural and Built Environment (NBE) Bill to address concerns raised by the Chief Justice and protect the role and functions of the courts.,0.5849963426589966
"Ministry for the Environment (Additional advice on SP Bill hearings, 24 March 2023)",Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16913////cc2b6a4e7f8ca6fc7f078290678e215f0a3e6010,submissions////c0dbd4ad-ca26-4fcb-a1e5-0fc568751eed.pdf,,Natural and Built Environment Bill,"The briefing discusses the issue of whether hearings should be mandatory in the regional spatial strategy (RSS) development process. The pros of mandatory hearings include ensuring engagement is not faceless, making the decision-making process more visible, and allowing for dialogue between submitters and decision-makers. The cons include the expense and time-consuming nature of formal hearings and the potential bias towards parties that can easily participate. The briefing recommends that if the committee wishes to require parties to be heard in person, it should be incorporated into the process in a way that meets the needs of the participants. The briefing suggests using the term ""present"" instead of ""hearing"" to allow for a wider range of ways for people to be heard, including virtual presentations. It also recommends that presentations be allowed at an early stage of the process rather than after a draft RSS has been publicly notified. The briefing proposes including a new requirement in recommendation 16 (vii) of the Spatial Planning Bill to provide clearer direction on what an RPC should consider when designing the engagement process. This includes considering the preferences and needs of interested parties, providing an opportunity for presentations, addressing barriers to participation, using digital tools, minimizing costs, encouraging collaboration, and seeking input on implementation. The briefing suggests discussing this proposal further on Monday morning.",organisation,"The briefing recommends incorporating mandatory hearings, or ""presentations,"" into the regional spatial strategy development process in a way that meets the needs of participants, including virtual presentations and early-stage opportunities, and proposes a new requirement in the Spatial Planning Bill to provide clearer direction on the engagement process.",0.9424068331718445
